Episode,Reward,Steps,Epsilon,Success
1,-1100,200,0.995,0
2,-455,115,0.990025,1
3,-311,97,0.985074875,1
4,-956,200,0.9801495006250001,0
5,-1046,200,0.9752487531218751,0
6,-929,200,0.9703725093562657,0
7,-1073,200,0.9655206468094844,0
8,-821,175,0.960693043575437,1
9,-625,141,0.9558895783575597,1
10,-513,137,0.9511101304657719,1
11,-983,200,0.946354579813443,0
12,-535,141,0.9416228069143757,1
13,-821,184,0.9369146928798039,1
14,-902,200,0.9322301194154049,0
15,-1055,200,0.9275689688183278,0
16,-365,88,0.9229311239742362,1
17,-1037,200,0.918316468354365,0
18,-965,200,0.9137248860125932,0
19,-1010,200,0.9091562615825302,0
20,-101,40,0.9046104802746175,1
21,-57,32,0.9000874278732445,1
22,-233,64,0.8955869907338783,1
23,-437,115,0.8911090557802088,1
24,-545,133,0.8866535105013078,1
25,-235,75,0.8822202429488013,1
26,-651,167,0.8778091417340573,1
27,-645,161,0.8734200960253871,1
28,-249,98,0.8690529955452602,1
29,-41,43,0.8647077305675338,1
30,-451,111,0.8603841919146962,1
31,-33,35,0.8560822709551227,1
32,-83,58,0.851801859600347,1
33,-391,114,0.8475428503023453,1
34,-139,51,0.8433051360508336,1
35,-359,91,0.8390886103705794,1
36,-99,65,0.8348931673187264,1
37,-327,77,0.8307187014821328,1
38,17,30,0.8265651079747222,1
39,-245,76,0.8224322824348486,1
40,-159,62,0.8183201210226743,1
41,-257,88,0.8142285204175609,1
42,-131,61,0.810157377815473,1
43,-3,32,0.8061065909263957,1
44,-221,79,0.8020760579717637,1
45,-1,30,0.798065677681905,1
46,-131,61,0.7940753492934954,1
47,-37,39,0.7901049725470279,1
48,-145,66,0.7861544476842928,1
49,3,26,0.7822236754458713,1
50,-21,41,0.778312557068642,1
51,3,26,0.7744209942832988,1
52,-245,76,0.7705488893118823,1
53,-37,39,0.7666961448653229,1
54,-89,46,0.7628626641409962,1
55,-77,43,0.7590483508202912,1
56,-585,146,0.7552531090661897,1
57,-99,47,0.7514768435208588,1
58,-149,61,0.7477194593032545,1
59,-35,28,0.7439808620067382,1
60,35,30,0.7402609576967045,1
61,-15,26,0.736559652908221,1
62,5,33,0.7328768546436799,1
63,-99,47,0.7292124703704616,1
64,-31,33,0.7255664080186093,1
65,19,28,0.7219385759785162,1
66,-23,25,0.7183288830986236,1
67,-75,41,0.7147372386831305,1
68,37,19,0.7111635524897149,1
69,19,28,0.7076077347272662,1
70,-43,36,0.7040696960536299,1
71,-33,35,0.7005493475733617,1
72,35,21,0.697046600835495,1
73,7,22,0.6935613678313175,1
74,29,27,0.6900935609921609,1
75,-27,29,0.6866430931872001,1
76,59,15,0.6832098777212641,1
77,43,22,0.6797938283326578,1
78,25,31,0.6763948591909945,1
79,-65,40,0.6730128848950395,1
80,-95,61,0.6696478204705644,1
81,-103,51,0.6662995813682115,1
82,-41,43,0.6629680834613705,1
83,-21,32,0.6596532430440636,1
84,-189,65,0.6563549768288433,1
85,79,13,0.653073201944699,1
86,-81,65,0.6498078359349755,1
87,-77,43,0.6465587967553006,1
88,57,17,0.6433260027715241,1
89,-27,29,0.6401093727576664,1
90,71,12,0.6369088258938781,1
91,13,34,0.6337242817644086,1
92,79,13,0.6305556603555866,1
93,-125,55,0.6274028820538087,1
94,-51,44,0.6242658676435396,1
95,55,19,0.6211445383053219,1
96,37,19,0.6180388156137953,1
97,45,20,0.6149486215357263,1
98,21,26,0.6118738784280476,1
99,-131,52,0.6088145090359074,1
100,-91,39,0.6057704364907278,1
101,-47,40,0.6027415843082742,1
102,-9,29,0.5997278763867329,1
103,-3,23,0.5967292370047992,1
104,21,26,0.5937455908197752,1
105,41,24,0.5907768628656763,1
106,31,25,0.5878229785513479,1
107,15,23,0.5848838636585911,1
108,45,20,0.5819594443402982,1
109,37,19,0.5790496471185967,1
110,21,35,0.5761543988830038,1
111,27,20,0.5732736268885887,1
112,51,23,0.5704072587541458,1
113,13,25,0.567555222460375,1
114,47,18,0.5647174463480732,1
115,33,32,0.5618938591163328,1
116,35,21,0.5590843898207511,1
117,71,21,0.5562889678716474,1
118,-41,43,0.5535075230322891,1
119,21,26,0.5507399854171277,1
120,59,15,0.547986285490042,1
121,1,28,0.5452463540625918,1
122,87,14,0.5425201222922789,1
123,1,28,0.5398075216808175,1
124,-51,44,0.5371084840724134,1
125,13,34,0.5344229416520513,1
126,51,23,0.531750826943791,1
127,25,22,0.5290920728090721,1
128,43,22,0.5264466124450268,1
129,55,19,0.5238143793828016,1
130,7,31,0.5211953074858876,1
131,3,35,0.5185893309484582,1
132,65,18,0.5159963842937159,1
133,21,26,0.5134164023722473,1
134,47,18,0.510849320360386,1
135,49,16,0.5082950737585841,1
136,9,20,0.5057535983897912,1
137,57,17,0.5032248303978422,1
138,7,22,0.500708706245853,1
139,33,23,0.4982051627146237,1
140,61,13,0.49571413690105054,1
141,-7,27,0.4932355662165453,1
142,71,12,0.4907693883854626,1
143,59,15,0.4883155414435353,1
144,69,14,0.4858739637363176,1
145,39,17,0.483444593917636,1
146,33,23,0.4810273709480478,1
147,29,27,0.47862223409330756,1
148,5,24,0.47622912292284103,1
149,13,25,0.4738479773082268,1
150,13,25,0.47147873742168567,1
151,75,17,0.46912134373457726,1
152,55,19,0.46677573701590436,1
153,55,19,0.46444185833082485,1
154,89,12,0.46211964903917074,1
155,91,10,0.4598090507939749,1
156,45,20,0.457510005540005,1
157,15,23,0.45522245551230495,1
158,81,11,0.4529463432347434,1
159,67,16,0.4506816115185697,1
160,35,21,0.4484282034609769,1
161,45,20,0.446186062443672,1
162,5,33,0.4439551321314536,1
163,49,25,0.4417353564707963,1
164,45,20,0.43952667968844233,1
165,35,21,0.43732904629000013,1
166,53,21,0.4351424010585501,1
167,23,24,0.43296668905325736,1
168,57,17,0.43080185560799106,1
169,41,15,0.4286478463299511,1
170,77,15,0.42650460709830135,1
171,71,12,0.42437208406280985,1
172,49,16,0.4222502236424958,1
173,67,16,0.42013897252428334,1
174,77,15,0.4180382776616619,1
175,59,15,0.4159480862733536,1
176,69,14,0.41386834584198684,1
177,55,19,0.4117990041127769,1
178,77,15,0.40974000909221303,1
179,79,13,0.40769130904675194,1
180,77,15,0.40565285250151817,1
181,31,25,0.4036245882390106,1
182,23,24,0.4016064652978155,1
183,25,31,0.3995984329713264,1
184,21,17,0.3976004408064698,1
185,57,17,0.39561243860243744,1
186,65,18,0.3936343764094253,1
187,31,16,0.39166620452737816,1
188,59,15,0.3897078735047413,1
189,75,17,0.3877593341372176,1
190,51,14,0.3858205374665315,1
191,39,17,0.38389143477919885,1
192,89,12,0.3819719776053028,1
193,49,16,0.3800621177172763,1
194,57,17,0.37816180712868996,1
195,81,11,0.37627099809304654,1
196,91,10,0.3743896431025813,1
197,73,19,0.37251769488706843,1
198,61,22,0.3706551064126331,1
199,39,26,0.36880183088056995,1
200,61,22,0.3669578217261671,1
201,49,25,0.36512303261753626,1
202,17,21,0.3632974174544486,1
203,77,15,0.3614809303671764,1
204,75,17,0.3596735257153405,1
205,59,15,0.3578751580867638,1
206,85,16,0.35608578229633,1
207,61,13,0.3543053533848483,1
208,59,15,0.35253382661792404,1
209,63,20,0.3507711574848344,1
210,75,17,0.34901730169741024,1
211,67,16,0.3472722151889232,1
212,61,22,0.3455358541129786,1
213,91,10,0.3438081748424137,1
214,81,11,0.3420891339682016,1
215,31,25,0.3403786882983606,1
216,77,15,0.3386767948568688,1
217,91,10,0.33698341088258443,1
218,47,18,0.3352984938281715,1
219,79,13,0.33362200135903064,1
220,89,12,0.33195389135223546,1
221,85,16,0.3302941218954743,1
222,53,21,0.32864265128599696,1
223,71,12,0.326999438029567,1
224,47,18,0.3253644408394192,1
225,79,13,0.3237376186352221,1
226,67,16,0.322118930542046,1
227,81,11,0.32050833588933575,1
228,81,11,0.31890579420988907,1
229,79,13,0.3173112652388396,1
230,71,12,0.3157247089126454,1
231,51,14,0.3141460853680822,1
232,67,16,0.3125753549412418,1
233,57,17,0.31101247816653554,1
234,55,19,0.30945741577570285,1
235,57,17,0.3079101286968243,1
236,81,11,0.3063705780533402,1
237,91,10,0.30483872516307353,1
238,67,16,0.3033145315372582,1
239,69,14,0.3017979588795719,1
240,81,11,0.30028896908517405,1
241,79,13,0.2987875242397482,1
242,89,12,0.29729358661854943,1
243,25,31,0.29580711868545667,1
244,77,15,0.2943280830920294,1
245,59,15,0.29285644267656924,1
246,71,12,0.2913921604631864,1
247,89,12,0.28993519966087045,1
248,59,15,0.2884855236625661,1
249,91,10,0.28704309604425327,1
250,67,16,0.285607880564032,1
251,47,18,0.28417984116121187,1
252,77,15,0.2827589419554058,1
253,55,19,0.28134514724562876,1
254,91,10,0.2799384215094006,1
255,55,19,0.27853872940185365,1
256,65,18,0.27714603575484437,1
257,81,11,0.2757603055760701,1
258,71,12,0.2743815040481898,1
259,67,16,0.2730095965279488,1
260,49,16,0.27164454854530906,1
261,71,21,0.2702863258025825,1
262,71,12,0.2689348941735696,1
263,91,10,0.26759021970270175,1
264,59,15,0.2662522686041882,1
265,73,19,0.2649210072611673,1
266,85,16,0.26359640222486147,1
267,67,16,0.26227842021373715,1
268,81,11,0.2609670281126685,1
269,79,13,0.25966219297210513,1
270,55,19,0.2583638820072446,1
271,25,22,0.2570720625972084,1
272,89,12,0.25578670228422234,1
273,91,10,0.25450776877280124,1
274,51,14,0.2532352299289372,1
275,59,15,0.2519690537792925,1
276,51,23,0.2507092085103961,1
277,81,11,0.2494556624678441,1
